PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,328,211,17217,13510,18368,1375,112,647,2303,714,13637,11207,152,4062,3063,23729,110635
CAPITAL FEDERAL,748,465,11028,9793,10521,2174,111,1013,3036,653,9079,9243,274,2141,3172,18307,81758
CATAMARCA,3,2,332,81,312,5,1,6,31,27,211,166,2,9,64,278,1530
CHACO,3,24,1145,267,868,71,10,96,121,107,230,437,9,210,290,1171,5059
CHUBUT,10,28,1550,679,2030,18,13,137,160,149,759,663,90,196,584,1927,8993
CORDOBA,146,112,6058,4843,6113,298,100,160,472,442,3482,4277,129,1144,1752,7477,37005
CORRIENTES,9,28,1026,395,815,72,17,41,111,68,381,520,25,216,384,1284,5392
ENTRE RIOS,15,12,1047,782,1354,92,12,42,215,89,761,929,28,159,556,1819,7912
FORMOSA,1,3,448,182,328,15,11,12,16,34,124,187,1,123,195,470,2150
JUJUY,2,17,587,436,506,8,6,28,144,50,229,299,82,150,191,751,3486
LA PAMPA,9,6,974,394,723,11,24,20,86,63,305,496,5,89,239,986,4430
LA RIOJA,4,1,218,78,370,8,1,6,28,42,138,190,9,16,52,416,1577
MENDOZA,21,39,1687,1215,2189,93,7,129,632,171,1321,1120,59,295,479,1936,11393
MISIONES,4,13,1067,589,656,9,13,91,165,98,459,465,29,91,215,1131,5095
NEUQUEN,14,31,1162,913,1721,22,33,80,242,128,541,581,54,257,389,1615,7783
RIO NEGRO,2,6,1076,1004,835,13,23,23,64,64,541,528,13,145,150,1024,5511
SALTA,9,13,853,543,814,26,7,52,219,96,472,530,13,54,443,1158,5302
SAN JUAN,5,10,522,367,567,19,2,44,85,44,241,201,12,23,269,534,2945
SAN LUIS,3,11,409,165,512,6,3,6,27,45,358,255,11,46,178,440,2475
SANTA CRUZ,5,8,1014,224,1006,7,4,24,84,30,299,314,53,42,272,1110,4496
SANTA FE,170,109,6080,4399,5487,416,58,238,782,265,3844,4162,109,1065,1312,6744,35240
SANTIAGO DEL ESTERO,4,3,423,167,506,13,3,10,27,23,224,82,12,35,190,398,2120
TIERRA DEL FUEGO,1,0,756,627,523,73,1,29,122,37,460,540,75,18,302,793,4357
TUCUMAN,10,0,1203,942,915,98,37,51,110,41,518,375,26,358,218,1195,6097
TOTAL,1526,1152,57882,42595,58039,4942,609,2985,9282,3480,38614,37767,1272,10944,14959,76693,362741
