PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,635,431,23394,17799,24045,3377,5,757,3631,698,21708,21779,161,3800,6070,34922,163212
CAPITAL FEDERAL,1320,1002,14711,10043,12005,4263,4,1181,4920,665,12434,12974,422,1979,6062,23489,107474
CATAMARCA,4,4,623,261,532,24,0,8,56,22,444,473,3,20,176,686,3336
CHACO,21,65,1968,425,1090,181,0,123,237,73,365,911,25,117,724,1633,7958
CHUBUT,14,47,2688,964,2641,47,0,101,184,122,894,1315,67,120,914,2588,12706
CORDOBA,281,177,7346,6360,8286,679,6,219,520,333,5805,7277,131,970,3047,10349,51786
CORRIENTES,34,71,1553,843,1134,181,0,110,198,66,550,1052,104,119,768,1826,8609
ENTRE RIOS,27,25,1330,1264,1785,214,0,54,273,111,1220,1879,51,168,859,2962,12222
FORMOSA,6,6,722,224,559,24,1,20,80,36,248,297,2,51,296,710,3282
JUJUY,15,47,710,696,820,9,0,59,244,56,355,782,83,13,362,1165,5416
LA PAMPA,14,6,1077,487,832,29,0,28,63,44,458,927,11,26,409,1350,5761
LA RIOJA,7,2,350,129,450,21,0,8,28,6,256,314,6,16,225,589,2407
MENDOZA,34,79,3390,2167,3004,235,3,181,431,170,2081,1846,67,380,1005,3560,18633
MISIONES,3,9,1655,684,927,22,5,58,127,56,648,825,30,41,384,1528,7002
NEUQUEN,12,28,1927,1221,2568,77,0,64,321,128,846,1276,79,202,704,2002,11455
RIO NEGRO,9,6,1712,1542,1179,56,0,30,84,59,766,1115,23,133,342,1401,8457
SALTA,27,37,1938,1130,1372,64,0,88,255,91,731,1201,69,33,867,2220,10123
SAN JUAN,6,12,822,525,721,80,0,46,145,16,437,309,21,10,387,1209,4746
SAN LUIS,7,5,667,366,579,26,0,14,20,17,459,489,12,59,325,719,3764
SANTA CRUZ,10,16,1994,530,1647,22,0,30,181,89,633,1015,56,23,437,1767,8450
SANTA FE,242,203,8063,4948,7259,919,0,309,851,180,5014,7371,117,929,2464,9361,48230
SANTIAGO DEL ESTERO,21,22,681,468,921,25,0,5,96,31,502,487,15,23,490,582,4369
TIERRA DEL FUEGO,3,3,1117,867,722,344,0,35,144,120,618,619,43,34,391,1254,6314
TUCUMAN,13,2,2008,1553,1337,211,0,60,203,88,896,1073,16,360,405,1854,10079
TOTAL,2765,2305,82446,55496,76415,11130,24,3588,13292,3277,58368,67606,1614,9626,28113,109726,525791
