PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,79,101,3391,2360,4523,105,159,142,680,230,4104,5875,19,69,1114,2848,25799
CAPITAL FEDERAL,260,189,2219,1557,3199,231,117,140,745,192,3857,4899,11,110,1242,2379,21347
CATAMARCA,1,0,58,14,106,1,0,0,10,17,86,153,1,1,57,47,552
CHACO,1,5,224,52,224,8,11,25,12,44,143,225,0,5,128,123,1230
CHUBUT,1,14,266,129,541,1,16,78,28,89,130,401,1,21,197,257,2170
CORDOBA,61,43,1412,1123,2507,35,53,62,154,154,1388,1626,1,24,908,922,10473
CORRIENTES,5,14,106,258,159,6,23,10,17,32,187,199,0,4,106,99,1225
ENTRE RIOS,6,0,144,78,243,4,17,6,35,85,239,239,1,4,102,172,1375
FORMOSA,0,1,57,95,50,0,11,4,2,11,40,98,0,1,36,62,468
JUJUY,1,2,55,73,179,1,7,28,23,25,39,143,2,2,133,63,776
LA PAMPA,2,2,186,31,162,0,11,7,4,28,77,181,0,4,122,79,896
LA RIOJA,0,2,22,27,93,3,2,1,7,3,54,83,0,0,18,87,402
MENDOZA,19,24,349,180,486,26,41,59,107,42,339,267,1,15,155,217,2327
MISIONES,0,7,189,52,150,1,6,9,30,27,115,178,2,0,71,101,938
NEUQUEN,1,4,202,209,392,3,13,12,78,44,129,121,2,5,105,159,1479
RIO NEGRO,0,1,188,158,183,1,13,6,14,20,108,177,0,2,68,90,1029
SALTA,5,9,107,57,270,11,26,32,19,63,47,400,2,5,182,76,1311
SAN JUAN,0,2,102,27,130,6,3,14,32,14,112,68,2,3,63,76,654
SAN LUIS,6,4,119,61,148,0,16,6,17,2,150,99,0,1,38,52,719
SANTA CRUZ,1,1,101,57,243,6,6,9,17,6,61,131,9,0,71,100,819
SANTA FE,39,30,1610,643,1445,29,54,52,163,216,1276,1615,2,41,561,774,8550
SANTIAGO DEL ESTERO,2,1,47,51,105,0,19,4,8,7,99,54,0,3,54,61,515
TIERRA DEL FUEGO,1,3,18,55,48,9,11,5,23,12,30,400,0,30,36,67,748
TUCUMAN,3,4,287,94,299,20,37,23,27,58,223,242,5,40,138,187,1687
TOTAL,494,463,11459,7441,15885,507,672,734,2252,1421,13033,17874,61,390,5705,9098,87489
