PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,1050,868,32914,21260,26687,6648,0,751,3485,2630,21779,27894,169,2981,6658,45319,201093
CAPITAL FEDERAL,1468,1442,15985,10265,11910,5759,1,1304,4961,2318,9823,13421,324,1319,5861,23344,109505
CATAMARCA,5,13,692,393,454,66,0,7,40,34,412,569,6,17,320,645,3673
CHACO,19,76,2276,552,974,296,0,106,73,165,239,1480,12,161,778,1846,9053
CHUBUT,20,26,2682,968,2366,339,0,89,121,229,673,1800,62,137,1043,2145,12700
CORDOBA,418,302,9320,8885,9136,1947,2,355,429,1156,5826,8885,85,530,2941,11078,61295
CORRIENTES,102,108,2423,1280,1706,436,0,123,215,254,694,1453,66,108,1217,2581,12766
ENTRE RIOS,61,36,2296,1386,2098,442,0,138,199,355,1369,2352,39,120,1004,3783,15678
FORMOSA,10,11,1141,839,764,75,0,16,97,48,281,494,12,61,529,1004,5382
JUJUY,21,78,571,1159,1122,44,0,69,177,144,551,1292,122,11,569,1646,7576
LA PAMPA,25,14,1341,495,708,63,0,25,20,111,415,934,4,19,377,1549,6100
LA RIOJA,9,7,584,354,664,45,0,5,20,42,508,453,9,7,329,657,3693
MENDOZA,90,81,4367,2410,2724,519,0,197,394,324,2443,2786,56,546,1320,4929,23186
MISIONES,1,8,1826,878,1022,184,0,70,78,129,707,1023,12,42,413,1473,7866
NEUQUEN,48,25,2079,1153,2019,393,0,56,198,197,721,1353,33,144,809,2067,11295
RIO NEGRO,10,18,2076,1349,1051,223,0,17,68,208,686,1348,19,117,388,1534,9112
SALTA,33,67,1625,1604,1569,93,1,85,340,225,833,1684,60,18,1020,3114,12371
SAN JUAN,15,12,1078,712,784,124,0,95,117,21,649,884,22,8,570,1273,6364
SAN LUIS,19,19,736,649,749,63,0,9,23,70,520,665,8,35,357,1396,5318
SANTA CRUZ,9,30,2294,751,1893,196,0,31,89,165,503,1366,28,12,723,1761,9851
SANTA FE,413,242,8308,4921,7825,1860,0,428,676,802,4460,7279,87,706,2382,9525,49914
SANTIAGO DEL ESTERO,19,24,786,765,895,72,0,18,62,126,474,755,14,12,515,1023,5560
TIERRA DEL FUEGO,77,4,1011,668,616,407,0,30,71,109,547,886,87,16,351,1028,5908
TUCUMAN,21,20,2938,2101,1541,372,0,109,211,186,1000,1712,37,228,621,2461,13558
TOTAL,3963,3531,101349,65797,81277,20666,4,4133,12164,10048,56113,82768,1373,7355,31095,127181,608817
