PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,191,125,11551,8644,15155,735,146,270,1694,548,7824,7416,106,2334,2507,19456,78702
CAPITAL FEDERAL,498,316,7865,6253,8887,1527,71,542,2053,393,6189,6642,127,1574,2607,16107,61651
CATAMARCA,0,1,164,45,208,1,6,11,23,19,85,107,1,5,33,150,859
CHACO,7,23,780,98,854,49,17,62,82,59,220,286,8,153,315,1120,4133
CHUBUT,6,18,970,564,1717,24,12,91,103,133,449,512,59,228,547,1509,6942
CORDOBA,135,75,4807,3648,6121,235,98,126,435,326,2612,2761,81,579,1465,6350,29854
CORRIENTES,19,22,544,156,724,52,16,38,60,60,304,278,27,124,317,1177,3918
ENTRE RIOS,8,7,773,349,1304,55,28,22,199,85,569,575,18,164,348,1471,5975
FORMOSA,1,2,218,130,253,8,11,9,20,17,94,94,0,45,150,307,1359
JUJUY,2,6,259,485,501,4,2,28,135,31,139,226,68,45,183,670,2784
LA PAMPA,3,2,754,236,726,7,4,17,63,38,136,327,3,44,165,761,3286
LA RIOJA,4,1,137,45,321,11,2,6,18,13,61,157,1,7,52,238,1074
MENDOZA,23,34,1224,866,1998,68,12,72,243,104,855,659,31,155,403,1630,8377
MISIONES,2,9,682,345,509,5,3,48,148,45,301,259,41,19,201,719,3336
NEUQUEN,9,19,672,633,1419,16,40,40,134,58,299,276,53,198,502,1204,5572
RIO NEGRO,2,6,729,714,754,11,22,11,53,48,312,315,14,140,100,827,4058
SALTA,7,12,423,312,718,23,6,63,108,96,272,349,14,38,286,792,3519
SAN JUAN,3,3,326,161,556,6,1,13,45,31,163,113,15,23,218,371,2048
SAN LUIS,0,4,215,209,456,9,3,7,34,18,241,152,16,18,90,304,1776
SANTA CRUZ,2,3,517,115,765,6,4,8,62,22,172,150,31,42,151,706,2756
SANTA FE,94,85,5632,3630,5568,216,201,174,622,249,3041,2933,69,769,1076,5858,30217
SANTIAGO DEL ESTERO,3,4,279,111,373,5,7,3,18,21,157,67,7,16,144,250,1465
TIERRA DEL FUEGO,1,2,400,440,489,14,3,31,62,12,292,320,57,219,236,616,3194
TUCUMAN,5,3,934,592,942,68,40,36,111,42,354,287,25,239,241,1066,4985
TOTAL,1025,782,40855,28781,51318,3155,755,1728,6525,2468,25141,25261,872,7178,12337,63659,271840
