PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,1360,462,43606,28645,35508,5391,0,1217,4175,3323,28316,35845,376,1166,7479,62266,259135
CAPITAL FEDERAL,1807,652,18395,12129,15887,4481,1,1713,5641,2559,11377,17162,584,541,6726,28012,127667
CATAMARCA,17,6,1068,702,632,70,0,16,58,44,695,785,8,1,445,1002,5549
CHACO,8,47,3399,1055,1363,263,0,164,91,378,588,2003,35,90,1031,2810,13325
CHUBUT,35,20,3378,1411,2847,283,0,114,193,341,856,2103,87,55,1195,2943,15861
CORDOBA,526,162,11782,11220,12441,1726,0,625,604,1820,7925,10667,166,141,3472,14984,78261
CORRIENTES,191,92,3639,1818,2426,435,0,239,337,488,1216,2027,195,106,1581,3956,18746
ENTRE RIOS,71,26,3488,1895,2811,503,0,202,314,593,2034,3045,96,59,1202,5432,21771
FORMOSA,14,5,1703,1124,1024,94,0,32,124,79,520,649,8,34,645,1310,7365
JUJUY,30,55,1041,1528,1460,45,0,67,245,225,811,1495,110,3,605,2002,9722
LA PAMPA,35,10,1683,812,972,65,0,28,31,170,650,1423,15,4,498,2240,8636
LA RIOJA,34,4,821,550,807,52,0,16,16,79,577,587,17,4,379,880,4823
MENDOZA,154,76,5482,3234,3521,476,2,299,626,358,3564,3642,119,221,1535,7382,30691
MISIONES,19,11,2771,1193,1526,141,0,110,135,214,1073,1307,22,32,469,2045,11068
NEUQUEN,48,15,2645,1751,2956,347,0,123,308,320,933,1819,59,54,1040,3071,15489
RIO NEGRO,22,4,2474,1730,1549,160,0,29,95,299,980,1482,38,37,437,2477,11813
SALTA,68,60,2455,2232,1975,79,0,122,308,255,1161,2254,123,6,1076,4506,16680
SAN JUAN,18,9,1550,1047,913,142,0,153,169,26,944,1158,33,7,606,1749,8524
SAN LUIS,16,12,1074,1199,903,54,0,34,43,93,641,810,25,11,429,2010,7354
SANTA CRUZ,13,16,2457,1089,1995,149,0,59,125,227,720,1698,22,3,802,2235,11610
SANTA FE,570,148,12170,6423,11050,1621,0,750,986,1206,5993,9937,173,204,3039,12969,67239
SANTIAGO DEL ESTERO,28,19,1051,1109,1257,74,0,33,125,232,611,1110,24,4,660,1659,7996
TIERRA DEL FUEGO,100,2,1527,1111,1185,374,0,43,162,151,825,1239,125,6,493,1732,9075
TUCUMAN,62,33,3793,3191,2498,480,0,221,361,338,1531,2386,93,44,746,3788,19565
TOTAL,5246,1946,133452,88198,109506,17505,3,6409,15272,13818,74541,106633,2553,2833,36590,173460,787965
