PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,701,519,23151,15917,21891,5159,4,459,2888,1028,17555,19832,124,2631,6516,36637,155012
CAPITAL FEDERAL,1003,871,11588,8261,9928,4696,0,686,3709,1048,8494,9990,123,1242,4480,20119,86238
CATAMARCA,6,7,397,384,490,24,0,5,48,10,450,445,10,8,259,607,3150
CHACO,24,69,2032,523,1200,290,0,78,211,88,232,1212,14,138,955,2057,9123
CHUBUT,13,25,2182,729,2186,230,0,80,168,121,708,1495,92,93,1125,2004,11251
CORDOBA,359,207,6959,7306,7728,1183,1,221,445,520,4627,7318,60,589,3198,8828,49549
CORRIENTES,52,64,1393,933,1146,310,0,104,140,73,382,880,80,124,1009,1896,8586
ENTRE RIOS,27,30,1153,1001,1650,255,1,42,194,106,1069,1631,37,100,846,2769,10911
FORMOSA,1,7,644,469,538,49,0,20,39,23,225,352,8,60,481,854,3770
JUJUY,20,59,406,756,856,49,1,23,186,49,263,881,48,14,533,1220,5364
LA PAMPA,19,5,925,443,650,32,0,20,36,30,366,764,11,18,310,1407,5036
LA RIOJA,10,9,378,186,485,34,0,6,40,23,374,355,9,18,289,609,2825
MENDOZA,45,60,3072,1716,2450,317,5,155,568,107,2009,2227,30,486,1353,3019,17619
MISIONES,7,2,1060,556,746,65,1,54,46,41,587,713,9,19,362,1092,5360
NEUQUEN,29,21,1646,998,1916,247,0,24,202,107,672,987,59,131,722,1692,9453
RIO NEGRO,7,8,1401,1183,899,103,0,25,75,56,566,912,11,80,435,1140,6901
SALTA,40,52,1169,1192,1244,97,0,72,220,59,602,1267,34,28,1140,2427,9643
SAN JUAN,9,16,722,529,696,110,0,53,89,13,529,584,7,29,501,1196,5083
SAN LUIS,14,10,574,395,570,49,0,11,22,20,430,393,14,28,331,1126,3987
SANTA CRUZ,7,23,1732,372,1540,105,0,21,89,84,610,1187,26,16,722,1633,8167
SANTA FE,249,135,6115,3690,6386,1219,0,179,497,333,3598,5655,60,675,2278,7745,38814
SANTIAGO DEL ESTERO,15,20,546,456,752,47,0,12,95,24,398,550,14,15,540,718,4202
TIERRA DEL FUEGO,27,3,632,474,439,206,0,32,63,55,390,513,14,27,267,732,3874
TUCUMAN,10,5,1808,1237,1106,224,0,39,247,76,656,1192,30,221,523,2072,9446
TOTAL,2694,2227,71685,49706,67492,15100,13,2421,10317,4094,45792,61335,924,6790,29175,103599,473364
