PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,78,45,4622,4044,7898,282,53,171,604,336,3840,4127,22,358,2448,7391,36319
CAPITAL FEDERAL,279,189,3371,3296,5596,518,22,264,933,161,3842,3945,26,291,1797,6545,31075
CATAMARCA,2,0,43,20,119,1,0,8,4,10,53,99,0,2,16,43,420
CHACO,1,6,318,67,410,27,6,32,13,51,129,166,2,4,319,315,1866
CHUBUT,2,12,444,233,1099,4,10,118,36,105,175,289,9,53,467,689,3745
CORDOBA,39,8,2647,2079,4226,90,28,78,101,259,1258,1603,31,112,1798,2204,16561
CORRIENTES,2,2,263,226,303,15,13,21,34,35,187,191,9,5,280,296,1882
ENTRE RIOS,8,4,274,157,579,20,6,26,68,106,254,314,3,28,351,452,2650
FORMOSA,0,0,108,97,115,2,7,7,2,6,53,95,0,2,126,103,723
JUJUY,0,6,63,135,289,4,0,30,33,31,35,143,5,85,165,123,1147
LA PAMPA,4,3,493,101,472,4,0,5,13,35,57,211,1,6,267,213,1885
LA RIOJA,2,0,18,34,143,1,1,4,3,2,50,76,0,1,17,98,450
MENDOZA,7,5,378,401,816,31,11,22,83,37,249,261,4,28,277,506,3116
MISIONES,3,1,296,100,252,2,8,32,49,32,143,143,4,4,230,145,1444
NEUQUEN,3,0,276,271,873,6,9,24,65,38,117,217,27,44,406,435,2811
RIO NEGRO,0,3,265,277,384,3,8,11,26,35,125,175,6,35,87,292,1732
SALTA,2,0,129,93,384,10,2,41,29,77,154,239,6,8,264,230,1668
SAN JUAN,1,1,123,15,232,1,1,8,65,10,88,52,0,8,88,118,811
SAN LUIS,0,0,106,61,220,4,5,4,5,11,140,61,1,4,79,88,789
SANTA CRUZ,0,0,146,39,463,5,1,25,30,9,58,87,9,3,130,200,1205
SANTA FE,28,23,2771,1727,3664,77,37,107,224,211,1488,1713,16,207,1224,1856,15373
SANTIAGO DEL ESTERO,3,1,118,73,162,0,3,4,4,8,89,49,3,3,83,54,657
TIERRA DEL FUEGO,0,2,49,216,116,0,2,22,33,14,50,201,9,29,96,187,1026
TUCUMAN,3,1,440,178,420,10,9,27,27,35,242,198,5,64,208,468,2335
TOTAL,467,312,17761,13940,29235,1117,242,1091,2484,1654,12876,14655,198,1384,11223,23051,131690
