PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,829,600,25327,20142,22735,5592,6,918,4112,1513,22608,21900,233,3548,6679,38218,174960
CAPITAL FEDERAL,1288,1114,14361,10574,11201,5440,1,1190,4906,1288,10696,11706,260,1743,5892,21244,102904
CATAMARCA,9,3,611,522,511,32,0,6,78,14,505,572,1,12,230,684,3790
CHACO,34,83,2482,767,1423,493,0,171,317,139,336,1477,39,183,915,2222,11081
CHUBUT,15,44,2667,1002,2791,294,0,166,234,233,979,1745,80,155,1093,2568,14066
CORDOBA,407,208,8148,8888,8510,1491,1,386,700,819,5960,7460,124,945,3513,10573,58133
CORRIENTES,55,82,1472,1128,1115,498,0,182,299,131,672,1149,161,138,939,1965,9986
ENTRE RIOS,37,28,1417,1407,1982,374,0,119,266,234,1484,2014,36,153,892,2951,13394
FORMOSA,4,18,711,341,533,91,0,20,50,42,276,392,1,36,369,958,3842
JUJUY,14,58,767,838,821,44,0,63,268,83,403,889,77,11,448,1055,5839
LA PAMPA,14,13,1224,617,871,79,0,32,76,61,481,929,11,46,435,1724,6613
LA RIOJA,6,4,325,180,452,18,0,13,27,16,360,302,8,28,172,561,2472
MENDOZA,70,92,3912,2466,2943,509,0,233,434,189,2299,2292,79,519,1151,3253,20441
MISIONES,3,2,1285,775,810,82,0,68,130,80,672,789,18,34,344,1374,6466
NEUQUEN,27,26,2162,1415,2485,424,0,78,314,209,1118,1874,83,224,884,2157,13480
RIO NEGRO,11,11,1694,1477,1023,181,0,33,98,104,826,1013,20,127,356,1469,8443
SALTA,33,77,1725,1458,1387,150,0,67,280,109,800,1365,43,47,939,2260,10740
SAN JUAN,10,19,874,660,769,148,0,108,161,23,501,513,22,15,445,1202,5470
SAN LUIS,11,10,687,472,606,49,0,11,38,47,470,473,4,49,330,861,4118
SANTA CRUZ,13,22,1994,527,1819,149,0,31,165,131,772,1359,37,40,572,2080,9711
SANTA FE,311,229,8259,5397,7049,1720,0,515,892,535,5171,7038,144,882,2716,9179,50037
SANTIAGO DEL ESTERO,18,25,616,570,999,81,0,3,88,90,527,572,22,20,486,643,4760
TIERRA DEL FUEGO,48,6,961,749,490,432,0,29,151,103,558,636,67,79,412,1097,5818
TUCUMAN,20,8,2240,1531,1337,397,0,67,279,98,950,1259,36,336,483,2155,11196
TOTAL,3287,2782,85921,63903,74662,18768,8,4509,14363,6291,59424,69718,1606,9370,30695,112453,557760
